year,age,births
2017,22,1869
2017,23,2085
2017,24,2448
2017,25,2763
2017,26,3063
2017,27,3366
2017,28,3663
2017,29,3873
2017,30,3984
2017,31,4008
2017,32,3906
2017,33,3645
2017,34,3252
2017,35,2823
2017,36,2415
2017,37,1929
2017,38,1602
2017,39,1164
2017,40,870
2017,41,597
2017,42,417
2017,43,270
2017,44,141
2017,45,72
2017,46,33
2018,14,15
2018,15,57
2018,16,150
2018,17,318
2018,18,573
2018,19,957
2018,20,1224
2018,21,1494
2018,22,1719
2018,23,2034
2018,24,2220
2018,25,2577
2018,26,2892
2018,27,3270
2018,28,3582
2018,29,3906
2018,30,4002
2018,31,4011
2018,32,3837
2018,33,3588
2018,34,3270
2018,35,2904
2018,36,2415
2018,37,1917
2018,38,1578
2018,39,1212
2018,40,837
2018,41,582
2018,42,372
2018,43,225
2018,44,132
2018,45,75
2018,46,36
2019,14,18
2019,15,39
2019,16,120
2019,17,306
2019,18,558
2019,19,951
2019,20,1173
2019,21,1431
2019,22,1689
2019,23,1983
2019,24,2238
2019,25,2538
2019,26,2913
2019,27,3369
2019,28,3732
2019,29,3882
2019,30,4119
2019,31,4320
2019,32,4068
2019,33,3720
2019,34,3513
2019,35,3036
2019,36,2535
2019,37,2070
2019,38,1650
2019,39,1254
2019,40,912
2019,41,597
2019,42,393
2019,43,216
2019,44,153
2019,45,84
2019,46,36
2020,14,12
2020,15,42
2020,16,126
2020,17,300
2020,18,534
2020,19,882
2020,20,1125
2020,21,1356
2020,22,1596
2020,23,1800
2020,24,2103
2020,25,2349
2020,26,2760
2020,27,3075
2020,28,3549
2020,29,3969
2020,30,4212
2020,31,4149
2020,32,4053
2020,33,3810
2020,34,3291
2020,35,2988
2020,36,2454
2020,37,1962
2020,38,1641
2020,39,1191
2020,40,852
2020,41,558
2020,42,321
2020,43,228
2020,44,129
2020,45,72
2020,46,42
2021,14,9
2021,15,45
2021,16,114
2021,17,243
2021,18,465
2021,19,714
2021,20,1056
2021,21,1332
2021,22,1431
2021,23,1755
2021,24,1968
2021,25,2283
2021,26,2733
2021,27,3039
2021,28,3708
2021,29,3930
2021,30,4332
2021,31,4461
2021,32,4290
2021,33,4119
2021,34,3627
2021,35,3114
2021,36,2667
2021,37,2070
2021,38,1629
2021,39,1290
2021,40,852
2021,41,585
2021,42,351
2021,43,213
2021,44,126
2021,45,57
2021,46,21
2022,14,12
2022,15,39
2022,16,132
2022,17,228
2022,18,513
2022,19,792
2022,20,1074
2022,21,1323
2022,22,1536
2022,23,1695
2022,24,2028
2022,25,2319
2022,26,2619
2022,27,2997
2022,28,3450
2022,29,3798
2022,30,4182
2022,31,4536
2022,32,4392
2022,33,4005
2022,34,3741
2022,35,3315
2022,36,2670
2022,37,2112
2022,38,1728
2022,39,1272
2022,40,903
2022,41,615
2022,42,372
2022,43,237
2022,44,132
2022,45,57
2022,46,24
2023,14,12
2023,15,45
2023,16,105
2023,17,267
2023,18,507
2023,19,810
2023,20,1026
2023,21,1209
2023,22,1482
2023,23,1728
2023,24,1866
2023,25,2106
2023,26,2385
2023,27,2922
2023,28,3273
2023,29,3660
2023,30,4017
2023,31,4167
2023,32,4242
2023,33,4125
2023,34,3690
2023,35,3315
2023,36,2568
2023,37,2100
2023,38,1602
2023,39,1344
2023,40,885
2023,41,648
2023,42,378
2023,43,231
2023,44,105
2023,45,60
2023,46,33
2024,14,12
2024,15,42
2024,16,132
2024,17,246
2024,18,516
2024,19,762
2024,20,1011
2024,21,1161
2024,22,1413
2024,23,1686
2024,24,1851
2024,25,2133
2024,26,2355
2024,27,2832
2024,28,3213
2024,29,3618
2024,30,3921
2024,31,4389
2024,32,4473
2024,33,4323
2024,34,3972
2024,35,3441
2024,36,2943
2024,37,2283
2024,38,1764
2024,39,1392
2024,40,966
2024,41,627
2024,42,384
2024,43,240
2024,44,126
2024,45,60
2024,46,30
2025,14,18
2025,15,45
2025,16,102
2025,17,246
2025,18,441
2025,19,729
2025,20,996
2025,21,1143
2025,22,1305
2025,23,1482
2025,24,1770
2025,25,2001
2025,26,2340
2025,27,2802
2025,28,3177
2025,29,3558
2025,30,3822
2025,31,4197
2025,32,4200
2025,33,4281
2025,34,4062
2025,35,3735
2025,36,2997
2025,37,2439
2025,38,1827
2025,39,1383
2025,40,1008
2025,41,663
2025,42,399
2025,43,243
2025,44,138
2025,45,78
2025,46,39
